Cube,Metric Name,Metric Description,Data Type,Format,Aggregation,Availability Status,Business Purpose,Your Requested Dimensions Available,Notes on Available Dimensions vs Missing
Orders,count,Total number of orders,number,,count,✅ AVAILABLE,Track order volume,"Order ID✅, Device✅, Device Nickname✅, Channel✅, Employee✅, Location✅, Customer✅, Customer Type✅, Order Created✅, Order Completed✅ | Order Name❌, Section❌, Visit Frequency⚠️","EXCELLENT: 10/13 dimensions available. Missing only Order Name & Section. Can get all core order details, customer info, device info, timing. Perfect for order counting analysis."
Orders,top_line_product_sales,Gross Sales - top-line product sales without discounts/returns/fees,number,currency,sum,✅ AVAILABLE,Primary revenue metric,"Order ID✅, Device✅, Device Nickname✅, Channel✅, Employee✅, Location✅, Customer✅, Customer Type✅, Order Created✅, Order Completed✅ | Order Name❌, Section❌, Visit Frequency⚠️",PERFECT MATCH: This is exactly your requested Gross Sales metric. 10/13 dimensions available. Can analyze gross sales by all major dimensions except Order Name & Section.
Orders,net_sales,Net sales after discounts and returns,number,currency,sum,✅ AVAILABLE,True revenue after adjustments,"Order ID✅, Device✅, Device Nickname✅, Channel✅, Employee✅, Location✅, Customer✅, Customer Type✅, Order Created✅, Order Completed✅ | Order Name❌, Section❌, Visit Frequency⚠️",EXCELLENT: Net sales with same dimension availability as gross sales. Great for revenue analysis after adjustments.
Orders,total_collected_amount,"Total amount collected including tips, tax, etc.",number,currency,sum,✅ AVAILABLE,Actual cash collected,"Order ID✅, Device✅, Device Nickname✅, Channel✅, Employee✅, Location✅, Customer✅, Customer Type✅, Order Created✅, Order Completed✅ | Order Name❌, Section❌, Visit Frequency⚠️",EXCELLENT: Total cash flow analysis with full dimensional breakdown. Perfect for cash management reporting.
Orders,itemized_returns,Amount of itemized returns,number,currency,sum,✅ AVAILABLE,Return tracking,"Order ID✅, Device✅, Device Nickname✅, Channel✅, Employee✅, Location✅, Customer✅, Customer Type✅, Order Created✅, Order Completed✅ | Order Name❌, Section❌, Visit Frequency⚠️","GOOD: Can analyze returns by all your key dimensions. Useful for identifying return patterns by employee, location, customer type."
Orders,discounts_amount,Total discounts applied,number,currency,sum,✅ AVAILABLE,Promotional impact tracking,"Order ID✅, Device✅, Device Nickname✅, Channel✅, Employee✅, Location✅, Customer✅, Customer Type✅, Order Created✅, Order Completed✅ | Order Name❌, Section❌, Visit Frequency⚠️",GOOD: Discount analysis with full dimensional support. Can track which employees/locations/channels use discounts most.
Orders,tips_amount,Non-cash tips collected,number,currency,sum,✅ AVAILABLE,Tip performance tracking,"Order ID✅, Device✅, Device Nickname✅, Channel✅, Employee✅, Location✅, Customer✅, Customer Type✅, Order Created✅, Order Completed✅ | Order Name❌, Section❌, Visit Frequency⚠️","GOOD: Tip analysis by employee, location, customer type. Great for staff performance and customer behavior analysis."
ItemTransactions,count,Count of item transactions,number,,count,✅ AVAILABLE,Item transaction volume,"Order ID✅, Location✅, Customer✅, Order Created✅ | Device❌, Device Nickname❌, Channel✅, Employee❌, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌","LIMITED: Only 4/13 dimensions directly available. Missing device, employee, customer type info. Would need joins to Orders/CustomerSnapshots for full analysis."
ItemTransactions,item_gross_sales,Item-level gross sales,number,currency,sum,✅ AVAILABLE,Product revenue tracking,"Order ID✅, Location✅, Customer✅, Order Created✅, Item Name✅, Category✅ | Device❌, Device Nickname❌, Channel✅, Employee❌, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌",MODERATE: 6/13 dimensions + item-specific dimensions. Great for product analysis but needs joins for employee/device/customer type info.
ItemTransactions,net_quantity,Net quantity sold (sales minus returns),number,,sum,✅ AVAILABLE,Inventory movement tracking,"Order ID✅, Location✅, Customer✅, Order Created✅, Item Name✅, Category✅ | Device❌, Device Nickname❌, Channel✅, Employee❌, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌",MODERATE: Good for inventory analysis by item/category/location. Missing employee and device context for operational analysis.
ItemTransactions,item_net_sales,Item net sales after discounts,number,currency,sum,✅ AVAILABLE,True item revenue,"Order ID✅, Location✅, Customer✅, Order Created✅, Item Name✅, Category✅ | Device❌, Device Nickname❌, Channel✅, Employee❌, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌","MODERATE: Item-level revenue analysis with basic dimensions. Excellent for product performance, limited for operational analysis."
